id,brand,series,material,model,windowType,size,glassType,priceRangeLow,priceRangeHigh,energyRating,uFactor,shgc,warrantyYears,installationIncluded,climateZones,features,popularityScore,customerRating,link
33,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,24x36,Double Pane,283,333,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
34,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,24x36,Double Pane Low-E,326,382,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
35,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,24x36,Triple Pane,397,465,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
36,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,24x36,Triple Pane Low-E,454,532,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
37,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,36x48,Double Pane,354,416,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
38,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,36x48,Double Pane Low-E,408,478,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
39,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,36x48,Triple Pane,496,582,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
40,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,36x48,Triple Pane Low-E,567,665,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
41,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,48x60,Double Pane,461,541,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
42,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,48x60,Double Pane Low-E,530,622,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
43,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,48x60,Triple Pane,645,757,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
44,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,48x60,Triple Pane Low-E,737,865,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
